rollback_dt,jdb_id,service_fee,逾期天数,逾期金额,逾期债务数,最小利率,最大利率,首笔借款当前是否逾期,是否首次逾期,历史借款次数含展期,历史借款次数不含展期,历史非逾期还款次数,历史逾期还款次数,前14天外呼数,前14天接通数,前14天接通时长
1,763207267884425222,0.48,50,444.37,1,0,0,,是,6,4,2,43,0,0,0
1,763207267884425222,0.48,49,453.7,1,0,0,,是,6,4,2,42,0,0,0
1,763207267884425222,0.48,48,463.03,1,0,0,,是,6,4,2,41,0,0,0
1,763207267884425222,0.48,47,472.36,1,0,0,,是,6,4,2,40,0,0,0
1,763207267884425222,0.48,46,481.68,1,0,0,,是,6,4,2,39,0,0,0
1,516340913355813424,2.33,155,3225.35,1,0,0,,,633,377,675,259,6,0,0
1,511571721053835621,150.73,148,3012.64,1,1,1,,,3,2,1,4,6,0,0
1,511571721053835621,142.59,145,5856.9,1,1,1,,,3,2,1,3,6,0,0
1,508960133691640886,16.35,127,991.5,1,15,15,,,29,27,7,42,6,0,0
1,734435671724479601,24.99,417,1371.23,2,0,24,,,12,7,21,3,7,0,0
1,506857442363030617,84.31,1057,1686.4,2,0,0,,是,18,15,5,4,6,1,13
1,505815590507424883,14.28,573,11762.58,5,20,24,,,73,56,109,82,6,0,0
1,729330487780398476,51.61,622,12369.33,4,1,24,,,83,71,36,54,7,0,0
1,723915316945573885,157.98,120,5387.04,1,0,0,,是,43,41,55,0,7,0,0
1,721697706657019996,101.93,46,3866.63,2,1,1,,,13,10,6,3,0,0,0
1,505815590507424883,6.19,572,11880.35,5,20,24,,,73,56,109,81,6,0,0
1,505425541420651546,100.96,287,5401.65,2,0,24,,,73,69,99,13,6,1,7
1,686638429190083944,256.51,63,5128.1,1,0,0,是,是,1,1,0,0,7,0,0
1,505180865287727410,92.03,1859,643.77,1,0,0,,是,4,4,1,4,6,3,54
1,662225735993880574,101.63,1148,12555.76,5,0,24,,,78,59,47,15,0,0,0
1,504878587612166649,14.28,617,1178682.48,49,0,0,,,563,407,439,27,6,0,0
1,504878587612166649,14.28,614,1177228.21,49,0,0,,,563,407,439,25,6,0,0
1,659109173682044631,24.99,87,41569.35,6,6,15,,,409,384,368,58,7,6,55
1,659109173682044631,100.16,80,42431.93,6,6,15,,,408,383,367,57,7,6,69
1,502392712562993751,105.99,89,2118.56,1,12,12,是,是,1,1,0,0,6,4,66
1,502063444566145322,15.24,176,3101.5,3,0,24,,是,49,46,49,0,6,0,0
1,501802142181777479,17.01,98,6601.89,7,0,0,,是,9,9,1,5,6,0,0
1,501802142181777479,53.98,92,6973.91,7,0,0,,是,9,9,1,4,6,1,21
1,501802142181777479,45.5,85,5772.22,6,0,0,,是,9,9,1,2,6,1,21
1,501751334233220299,35.24,159,14430.46,5,10,24,,,380,217,284,26,6,5,45
1,501625178561907846,1.87,1859,3197.51,4,0,0,,是,8,8,5,10,6,1,21
1,649621987513714793,60.49,1606,1209.52,2,0,0,是,是,2,2,0,0,0,0,0
1,500749216604844657,522,1769,3652.62,3,24,24,是,是,3,3,0,0,6,2,14
1,500616205926644306,0.42,341,28633.71,7,6,24,,,801,455,454,119,6,0,0
1,498869842649155490,1605.67,67,498171.75,33,0,0,,是,55,55,23,94,6,2,21
1,637622187129954263,25.44,119,1047.73,2,15,16,,,112,110,97,50,7,4,83
1,635449633338413462,215.68,64,9250.21,4,0,12,,,98,39,53,13,0,0,0
1,635376763828533482,2.62,140,99959.63,7,15,24,,,1065,945,1107,212,7,6,126
1,635376763828533482,0.48,140,100015.74,6,15,24,,,1065,945,1107,213,7,6,126
1,635376763828533482,0.48,140,100169.1,6,15,24,,,1065,945,1107,214,7,6,126
1,635376763828533482,1.43,137,99825.17,7,15,24,,,1064,944,1106,211,7,4,84
1,635376763828533482,2.85,136,99827.83,7,15,24,,,1064,944,1106,210,7,4,84
1,498869842649155490,640.41,66,505224.93,34,0,0,,是,55,55,23,85,6,2,21
1,630621005649650835,0.29,1607,199114.59,91,0,24,,是,467,428,507,88,0,0,0
1,498869842649155490,4138.29,65,552761.58,35,0,0,,是,55,55,23,59,6,3,37
1,498869842649155490,75.24,62,552583.78,35,0,0,,是,55,55,23,53,6,3,37
1,498869842649155490,148.45,59,553274.95,35,0,0,,是,55,55,23,46,6,2,24
1,498869842649155490,147.66,58,554665.42,35,0,0,,是,55,55,23,34,6,2,24
1,625429522835052433,1549.96,80,30986.7,1,0,0,,是,18,17,18,2,0,0,0
1,624691812780859847,4622.58,1540,256991.37,4,1,1,,是,7,7,1,0,0,0,0
1,498622145988004949,24.99,241,85706.06,45,12,24,,,2447,2392,4407,35,6,1,21
1,622724616508411080,301.47,89,25035.7,4,12,15,,,533,277,445,157,7,0,0
1,498622145988004949,14.99,238,85858.94,45,12,24,,,2446,2392,4405,34,6,1,21
1,498119350209818521,205.07,468,272185.81,359,0,24,,,675,639,190,120,6,4,26
1,497779317212873588,6.39,332,2962.83,3,0,0,,是,24,24,10,29,6,0,0
